Connessione a Railway DB...
ETF da verificare: 2573
[148/2573] AGGH.AS              OK 4.9041
[149/2573] EEUE.MI              OK 18.218
[150/2573] ICGA.DE              OK 4.943
[151/2573] CSUS.MI              OK 590.15
[152/2573] VGEA.MI              OK 23.815
[153/2573] XNAS.DE              OK 48.545
[154/2573] IE000KXCEXR3.PA      OK 117.306
[155/2573] RBOT.MI              OK 13.572
[156/2573] LQDE.MI              OK 87.54
[157/2573] VERX.AS              OK 44.72
[158/2573] CSPXJ.MI             OK 198.88
[159/2573] XXSC.MI              OK 65.97
[160/2573] MINT.MI              OK 86.62
[161/2573] USDV.MI              OK 69.53
[162/2573] XZMJ.MI              OK 24.345
[163/2573] CB3.MI               OK 219.48
[164/2573] EQAC.MI              OK 358.22
[165/2573] IESE.MI              OK 67.49
[166/2573] WEBG.DE              OK 11.544
[167/2573] XDWH.MI              OK 47.8
[168/2573] ECRP3.MI             OK 53.83
[169/2573] WEBH.MI              OK 36.905
[170/2573] ESEE.MI              OK 28.86
[171/2573] ENMU.MI              OK 9.096
[172/2573] VECP.MI              OK 47.8
[173/2573] IBTM.MI              OK 151.17
[174/2573] VUKG.DE              OK 61.85
[175/2573] FEMR.MI              OK 5.448
[176/2573] JREE.MI              OK 49.585
[177/2573] IUSN.DE              OK 7.915
[178/2573] XAD5.MI              OK 383.61
[179/2573] EXSI.MI              OK 59.72
[180/2573] NATO.MI              OK 17.308
[181/2573] LEONIA.MI            OK 113.312
[182/2573] FLXK.MI              OK 62.48
[183/2573] ESGU.MI              OK 85.06
[184/2573] UKGBPB.MI            OK 47.055
[185/2573] 5ESG.MI              OK 79.33
[186/2573] CMXUS.MI             OK 228.33
[187/2573] 10AP.L               OK 7.626384
[188/2573] SPX.MI               OK 58.42
[189/2573] QDVI.DE              OK 11.908
[190/2573] WSRI.MI              OK 101.77
[191/2573] VUCE.MI              OK 52.66
[192/2573] X13E.MI              OK 172.8
[193/2573] E500.MI              OK 50.24
[194/2573] BNK.MI               OK 55.67
[195/2573] XUSW.DE              OK 103.78
[196/2573] VECA.MI              OK 52.74
[197/2573] WELE.MI              OK 12.196
[198/2573] VNRT.AS              OK 138.88
[199/2573] INRG.MI              OK 9.258
[200/2573] PABEZ.MI             OK 37.1
[201/2573] ERNX.DE              OK 5.543
[202/2573] SUAS.MI              OK 15.07
[203/2573] EXI2.DE              OK 96.49
[204/2573] IS00.DE              OK 30.08
[205/2573] XUSE.MI              OK 5.52
[206/2573] EXX1.DE              OK 23.35
[207/2573] SW2CHB.MI            OK 31.985
[208/2573] VJPN.MI              OK 39.78
[209/2573] CSUSS.MI             OK 514.59
[210/2573] FWRA.MI              OK 7.084
[211/2573] JEPQ.MI              OK 21.99
[212/2573] IEVL.MI              OK 12.03
[213/2573] AGGH.MI              OK 4.902
[214/2573] XDWF.MI              OK 34.825
[215/2573] CEU.MI               OK 391.75
[216/2573] GLDA.DE              OK 159.68
[217/2573] XDEQ.MI              OK 68.9
[218/2573] ITPS.MI              OK 222.42
[219/2573] VWCG.MI              OK 53.26
[220/2573] AE5B.DE              OK 121.54
[221/2573] SUSE.MI              OK 4.956
[222/2573] QDVG.DE              OK 10.134
[223/2573] A500.MI              OK 113.19
[224/2573] IUS3.DE              OK 85.64
[225/2573] EMMEUA.MI            OK 125.5
[226/2573] XGLE.MI              OK 221.03
[227/2573] MVOL.MI              OK 63.54
[228/2573] JBEM.MI              OK 9.438
[229/2573] IBGX.MI              OK 159.84
[230/2573] USAUSW.MI            OK 33.325
[231/2573] SECA.MI              OK 4.3555
[232/2573] ETFJAP.MI            OK 32.53
[233/2573] WEBP.DE              OK 24.255
[234/2573] TNOW.MI              OK 902.85
[235/2573] EMBE.MI              OK 67.31
[236/2573] ISPY.MI              OK 26.29
[237/2573] SRIC3.MI             OK 9.706
[238/2573] ESEG.MI              OK 8.66
[239/2573] VNRA.MI              OK 143.23
[240/2573] CSBGE3.MI            OK 115.39
[241/2573] XRS2.MI              OK 317.03
[242/2573] EM13.MI              OK 126.99
[243/2573] 36BZ.DE              OK 4.976
[244/2573] EXS3.MI              OK 246.35
[245/2573] VDCA.MI              OK 53.3
[246/2573] SPXE.MI              OK 15.996
[247/2573] MSRUSA.MI            OK 16.176
[248/2573] USESG.MI             OK 224.89
[249/2573] SXRC.DE              OK 137.79
[250/2573] AWESG.MI             OK 18.478
[251/2573] IS02.DE              OK 5.5248
[252/2573] IHYU.MI              OK 81.39
[253/2573] ACWIA.MI             OK 198.38
[254/2573] GEMU.MI              OK 9.759
[255/2573] SEME.MI              OK 11.192
[256/2573] IBCX.MI              OK 122.94
[257/2573] IBTS.AS              OK 109.79
[258/2573] IBCX.AS              OK 123.02
[259/2573] XB4F.MI              OK 141.23
[260/2573] IH2O.MI              OK 64.14
[261/2573] ACWI.MI              OK 522.75
[262/2573] SMARTU.MI            OK 1123.758
[263/2573] EM35.MI              OK 151.05
[264/2573] VDST.MI              OK 50.68
[265/2573] QDVE.DE              OK 33.665
[266/2573] VAPX.MI              OK 32.645
[267/2573] NUCL.MI              OK 50.01
[268/2573] VAGF.MI              OK 23.615
[269/2573] IJPN.MI              OK 18.946
[270/2573] JEST.MI              OK 109.15
[271/2573] IBGS.MI              OK 139.99
[272/2573] VGWE.AS              OK 82.55
[273/2573] SXRS.DE              OK 8.495
[274/2573] XD5E.MI              OK 60.46
[275/2573] EUPC.DE              OK 1370.4
[276/2573] EXVM.MI              OK 76.29
[277/2573] DXUS.MI              OK 5.607
[278/2573] WGLD.MI              OK 398.94
[279/2573] JREM.MI              OK 37.735
[280/2573] CBUK.DE              OK 4.145
[281/2573] XHYA.MI              OK 23.635
[282/2573] INFR.MI              OK 33.39
[283/2573] XZE5.MI              OK 47.37
[284/2573] CSCA.MI              OK 240.63
[285/2573] IPRP.AS              OK 30.585
[286/2573] AEGE.MI              OK 4.593
[287/2573] CORP.MI              OK 76.69
[288/2573] SGAJ.DE              OK 7.341
[289/2573] CBUC.DE              OK 6.633
[290/2573] VMID.DE              OK 38.0
[291/2573] GDIG.MI              OK 50.51
[292/2573] ESGWO.MI             OK 95.94
[293/2573] NESG.MI              OK 60.55
[294/2573] IE000O5FBC47.PA      OK 27.113
[295/2573] SPESG.MI             OK 42.015
[296/2573] XDJP.MI              OK 29.72
[297/2573] XSMI.MI              OK 141.36
[298/2573] EMUEUA.MI            OK 189.2
[299/2573] VFEA.MI              OK 67.98
[300/2573] IEAG.MI              OK 106.71
[301/2573] FLXI.MI              OK 34.115
[302/2573] XDW0.MI              OK 63.09
[303/2573] IUSL.DE              OK 74.77
[304/2573] DXWO.MI              OK 5.696
[305/2573] LTAM.MI              OK 17.73
[306/2573] RMAU.MI              OK 40.05
[307/2573] JRGD.DE              OK 47.95
[308/2573] XDEM.MI              OK 69.08
[309/2573] IWLE.DE              OK 9.4892
[310/2573] IE000QQ8Z0D8.PA      OK 397.661
[311/2573] IE3E.MI              OK 5.491
[312/2573] NQSE.DE              OK 14.192
[313/2573] WSRUS.MI             OK 31.065
[314/2573] UDHY.DE              OK 4.0625
[315/2573] ANAU.MI              OK 18.342
[316/2573] XZEM.MI              OK 54.78
[317/2573] EJAP.DE              OK 17.722
[318/2573] WAT.MI               OK 67.48
[319/2573] XLKS.MI              OK 690.78
[320/2573] GBSE.MI              OK 24.53
[321/2573] LYTR.DE              OK 34.43
[322/2573] SXRI.F               OK 99.21
[323/2573] SRIC5.MI             OK 9.294
[324/2573] EMSRI.MI             OK 60.97
[325/2573] IBCI.MI              OK 234.66
[326/2573] HMWA.MI              OK 35.995
[327/2573] ICOV.MI              OK 140.88
[328/2573] FLXC.MI              OK 26.455
[329/2573] ACWIE.MI             OK 245.13
[330/2573] XUTC.MI              OK 112.35
[331/2573] EUDV.MI              OK 27.725
[332/2573] SUA0.MI              OK 5.323
[333/2573] ESIH.DE              OK 6.809
[334/2573] EMRG.MI              OK 76.56
[335/2573] EM710.MI             OK 168.33
[336/2573] AASI.MI              OK 47.91
[337/2573] ESIN.DE              OK 8.718
[338/2573] QDVB.DE              OK 14.074
[339/2573] DFND.MI              OK 8.352
[340/2573] XZEW.MI              OK 45.855
[341/2573] FR0013041530.PA      OK 101.89
[342/2573] XDEE.MI              OK 10.894
[343/2573] XNAS.MI              OK 48.56
[344/2573] ZPRS.DE              OK 111.74
[345/2573] IMIB.MI              OK 26.525
[346/2573] CEBZ.DE              OK 6.091
[347/2573] MGIN.MI              OK 33.385
[348/2573] COPA.MI              OK 41.115
[349/2573] 2B7J.DE              OK 8.823
[350/2573] EMLD.MI              OK 49.245
[351/2573] CG1.MI               OK 404.35
[352/2573] SPHC.MI              OK 181.93
[353/2573] SILV.MI              OK 34.25
[354/2573] AME6.DE              OK 143.14
[355/2573] EEMK.MI              OK 14.352
[356/2573] SLMA.DE              OK 9.8
[357/2573] XCHA.MI              OK 17.004
[358/2573] IQSA.MI              OK 81.23
[359/2573] VDTA.MI              OK 23.5
[360/2573] UBU7.AS              OK 93.004
[361/2573] STQX.MI              OK 401.55
[362/2573] HSTE.MI              OK 5.835
[363/2573] MWOE.DE              OK 13.772
[364/2573] H50E.MI              OK 58.75
[365/2573] IB28.MI              OK 5.122
[366/2573] SPXH.MI              OK 318.41
[367/2573] WOEE.MI              OK 5.451
[368/2573] IUKD.MI              OK 10.95
[369/2573] IBC3.DE              OK 5.4252
[370/2573] X9I1.F               OK 11.916
[371/2573] IE00B6SPMN59.MI      OK 68.25
[372/2573] AFRN.MI              OK 111.69
[373/2573] CLEM.MI              OK 64.03
[374/2573] IS3J.DE              OK 86.348
[375/2573] OM3Y.DE              OK 6.639
[376/2573] WRDEUA.MI            OK 373.65
[377/2573] GDXJ.MI              OK 87.18
[378/2573] XGDE.MI              OK 56.76
[379/2573] GRID.MI              OK 49.315
[380/2573] PABWD.MI             OK 80.42
[381/2573] ANX.MI               OK 239.24
[382/2573] 4UBF.DE              OK 14.9905
[383/2573] LOCK.MI              OK 8.563
[384/2573] GLDV.MI              OK 32.19
